第1题: 1/2*(1'1/3+(1/5+4))=2'23/30
第4795题: 4'3/10*(8+2'1/2)=45'3/20
第4796题: 4÷9-6=-5'5/9
第4797题: 1'2/3*(9÷8)=1'7/8
第4798题: 2'2/6-(1/4-2)÷6/8=4'2/3
第4799题: 1/3+1'2/3-(6/9+2/3)=2/3
第4800题: 10+1/3-(1-2'1/7)=11'10/21
第4801题: 7*(3/4*10)÷7'2/10=7'7/24
第4802题: (4/7-1-2/6)*2'6/10=-1'103/105
第4803题: 1/3-1'1/1÷6*1'2/4=1/-6
第4804题: (9-4*4'1/7÷8)=6'13/14
第4805题: 1'1/1+2/5+7=9'2/5
第4806题: 1'5/6-2÷2=5/6
第4807题: (5/9÷7)-3+3=5/63
第4808题: 4+7=11
第4809题: 5*9=45
第4810题: 3'1/4÷(3+7-1'1/2)=13/34
第4811题: (9+3*6'5/7)+10=39'1/7
第4812题: 1/6÷9-7=-6'53/54
第4813题: (6÷6)-6=-5
第4814题: (4÷9)÷(1/7*2)=1'5/9
第4815题: 6*(6/9*1/5)+2'1/3=3'2/15
第4816题: 1/4*5-3'2/3+1/3=-2'1/12
第4817题: 1/9*(7-(3/8÷1'1/1))=109/144
第4818题: 1/2÷3*4/9-5=-4'25/27
第4819题: 3'4/5*3'1/5+8-2'2/3=17'37/75
第4820题: (3/4+3)-4'5/6÷4=2'13/24
第4821题: 10'6/10*(7+2/6-1/4)=75'1/12
第4822题: (1/2-1-6+7)=1/2
第4823题: 1/1+1/6=1'1/6
第4824题: (2+4)-3=3
第4825题: 9*2'1/6-(1/1+2'1/6)=16'1/3
第4826题: 10÷1/2÷(4'1/5÷7)=33'1/3
第4827题: (6/7÷3'1/3÷3)+9=9'3/35
第4828题: 1/6÷5'3/10=5/159
第4829题: 3-9=-6
第4830题: (4-7'4/7)+9÷3/5=11'3/7
第4831题: 1/3+2/3=1
第4832题: (1/9÷7*8/10)÷10=2/1575
第4833题: 3'2/4*3/8=1'5/16
第4834题: (4'3/7÷1/10)-1/9=44'11/63
第4835题: 1/1*(3'3/7÷7)=24/49
第4836题: 2/10-(1'1/1*(1/5*1'1/2))=-2/5
第4837题: 2/3+4=4'2/3
第4838题: (2'2/3*1'1/1)-5'4/7=-5/21
第4839题: (8'4/8+4'1/7)*9÷4=28'25/56
第4840题: 4*1/4-1=0/1
第4841题: 5+(1'3/6-6)=1/2
第4842题: (7*9)-4'3/4=58'1/4
第4843题: (5÷8)+1'1/1=2'5/8
第4844题: (9*6/9)+(2-5)=3
第4845题: 3-(8+6÷5/6)=-12'1/5
第4846题: 1*3'1/4=3'1/4
第4847题: 3'1/3*7=23'1/3
第4848题: 1/2*6'5/6=3'5/12
第4849题: 1'8/9÷1*2'3/8=4'35/72
第4850题: 7÷(1÷6/7)=6
第4851题: (5-1'5/9)+(9-2/9)=12'2/9
第4852题: (1/2*1/2-(3-7))=4'1/4
第4853题: 7'1/8*(4/7*2)=8'1/7
第4854题: 8*1'2/3-8+3/4=6'1/12
第4855题: 1'2/3*2'1/2÷7*2/8=25/168
第4856题: (2'1/2*7/10)*7=12'1/4
第4857题: (2'1/4+7÷2'2/8)=5'13/36
第4858题: 3*2÷7÷2=3/7
第4859题: 5'1/7÷4+1/1+2'1/6=4'19/42
第4860题: (8-1/3*7)=5'2/3
第4861题: 5/8*6/7=15/28
第4862题: (5+4/5*1'5/6+3'1/5)=9'2/3
第4863题: 1÷1=1
第4864题: 1/4÷(5+9)=1/56
第4865题: 1'1/3÷6'5/6*1=8/41
第4866题: 3-2'3/10*1*4/9=1'44/45
第4867题: (9*(9'5/10*1/2-7))=-20'1/4
第4868题: (1'1/2+4/10)-4=-2'1/10
第4869题: 7+4=11
第4870题: (7+6'7/9)÷9=1'43/81
第4871题: 9÷3/4=12
第4872题: 2/4+(1/9-(4'3/6*6))=-26'7/18
第4873题: 5÷6'3/9=15/19
第4874题: 3÷(2/8-(3+1/2))=-12/13
第4875题: 2*3/5=1'1/5
第4876题: 6÷7÷5-2=-1'29/35
第4877题: 4/8+3/8=7/8
第4878题: 1'1/2-4'5/9=-3'1/18
第4879题: (9÷1-1)=8
第4880题: 3/4÷1/2=1'1/2
第4881题: (2'4/7*1'1/2)+(5'3/6+8)=17'5/14
第4882题: 1/8+(4*(2'1/5+1/2))=10'37/40
第4883题: (2/3*2'2/6)*(8÷10)=1'11/45
第4884题: (7-1'1/1+5'1/9)=10'1/9
第4885题: 5/9*1-1/3=2/9
第4886题: 3/6-5÷2=-2
第4887题: 2-(1÷9'5/9)=1'77/86
第4888题: 10*5/10+(6+1/2)=11'1/2
第4889题: 6-2'3/4+1/10=3'7/20
第4890题: (5'7/10+1)-4=2'7/10
第4891题: 3/6+6=6'1/2
第4892题: 5+(6+2'1/2)=13'1/2
第4893题: 1/2-7=-6'1/2
第4894题: 5'4/5÷2=2'9/10
第4895题: (1+2/3)+10=11'2/3
第4896题: 9÷(3'1/9*9)=9/28
第4897题: 9÷3+6=9
第4898题: (1*8'2/10)*9/10=7'19/50
第4899题: 1/3÷5'4/5=5/87
第4900题: 9+10+10=29
第4901题: (8-2/6)÷(1+1/1)=3'5/6
第4902题: 5*8=40
第4903题: (9÷1/5÷8/10)=56'1/4
第4904题: 3*(8*6'4/9)=154'2/3
第4905题: 1/1÷(6'1/7-6'2/7-2)=-7/15
第4906题: 7-1/2-1/1=5'1/2
第4907题: 5'7/9+(6-3)=8'7/9
第4908题: (1/4+3/5)-4/7+5=5'39/140
第4909题: 1+(2+5'6/9*8)=48'1/3
第4910题: 1/1÷3/8+1'1/2=4'1/6
第4911题: (2+7/8)÷6=23/48
第4912题: (2'5/7*4)÷4-9=-6'2/7
第4913题: 2'1/7÷3=5/7
第4914题: 4÷(1/2÷1)=8
第4915题: 9-3'2/3*8-6=-26'1/3
第4916题: 3÷(1/4-7'4/9)=108/-259
第4917题: 5-2'2/7*(8/10*4'5/10)=-3'8/35
第4918题: 6-(2/8*3÷7)=5'25/28
第4919题: (1'1/2-7)÷4'4/5=-1'7/48
第4920题: 9*(1'1/1+1'1/4)=29'1/4
第4921题: (2'1/2-7/9)+(1'2/5÷1)=3'11/90
第4922题: 1/8*1'1/1=1/4
第4923题: 5'5/10*6+7=40
第4924题: 8+4/7=8'4/7
第4925题: 1'2/10÷9-4=-3'13/15
第4926题: 1/5*(2/8÷1)=1/20
第4927题: (3'7/9-10)+4=-2'2/9
第4928题: 5-1/2*4=3
第4929题: 1÷7/10-1/1-4'2/6=-3'19/21
第4930题: (8+1'1/2)+3=12'1/2
第4931题: 1÷5/8=1'3/5
第4932题: 2/6÷7=1/21
第4933题: 10*1/3=3'1/3
第4934题: 5*2/10=1
第4935题: 2-(5'1/10-6)=2'9/10
第4936题: 1/2÷10'1/10=5/101
第4937题: (2/5+3'1/9)+4/8=4'1/90
第4938题: (10-(9*5'4/5-1))=-41'1/5
第4939题: (7*10*8)÷10=56
第4940题: 2'1/4-(6+(6÷4/9))=-17'1/4
第4941题: 4/10÷5/7=14/25
第4942题: 3÷1=3
第4943题: (1/1+7-5'4/6)=2'1/3
第4944题: (1/2+5)÷8=11/16
第4945题: (3/7+8)*(4/8*1)=4'3/14
第4946题: 10*(1/9-2'1/2+4)=16'1/9
第4947题: 10*1/1=10
第4948题: 1/4*5=1'1/4
第4949题: 3-(3/5*3)=1'1/5
第4950题: 9÷2=4'1/2
第4951题: 10*(2*(5-4))=20
第4952题: 6'1/7÷1'1/2=4'2/21
第4953题: (2'2/4-(3-4'5/6+10))=-5'2/3
第4954题: 10-5'6/10=4'2/5
第4955题: 1/4-2'1/2*(1/1-6)=12'3/4
第4956题: 1/1÷7/8-7'4/8=-6'5/14
第4957题: 1/4*1/8=1/32
第4958题: 4÷(7-6)=4
第4959题: (2/4-7)*1-8=-14'1/2
第4960题: (3+6)÷(10÷8)=7'1/5
第4961题: (5+5)-4=6
第4962题: 1'2/6-(2÷2)*5=-3'2/3
第4963题: 6*5÷8+6=9'3/4
第4964题: 8/9*3/8-4+8=4'1/3
第4965题: 2/4-8=-7'1/2
第4966题: 3/4-4=-3'1/4
第4967题: 1*(4*2'2/4)=10
第4968题: 1/5+1'2/6=1'8/15
第4969题: (8-1'1/2)-8-4=-5'1/2
第4970题: (1'2/3*8)÷3=4'4/9
第4971题: 1+4'1/8÷9*10=5'7/12
第4972题: (2'2/3÷1)÷5=8/15
第4973题: 6'8/10+(1/4*1'1/3)+3'1/3=10'7/15
第4974题: 1*6*2/3÷1/2=8
第4975题: 10-1+9=18
第4976题: 3'6/10*4=14'2/5
第4977题: 1'2/10+4=5'1/5
第4978题: (8-4'2/8÷6'6/7)*6'8/10=50'89/480
第4979题: 1/10*3=3/10
第4980题: 1/6*(2'1/2÷3/9-2/4)=1'1/6
第4981题: 5'6/9÷7+3'7/8=4'115/168
第4982题: (5+1)*1=6
第4983题: (6'2/6÷7)-2=-1'2/21
第4984题: (3÷(1÷8*4'3/5))=5'5/23
第4985题: 4/8*1=1/2
第4986题: 7-2'1/5+1/9=4'41/45
第4987题: 2'1/8-(6+1'5/10)=-5'3/8
第4988题: (1*3)*1'1/3-6/10=3'2/5
第4989题: (8÷1'2/6)-8/9=5'1/9
第4990题: 4'5/9+5=9'5/9
第4991题: (1'1/1+5)*3/5=4'1/5
第4992题: 5'5/9+3/9=5'8/9
第4993题: 9-(7*(9+10))=-124
第4994题: 2/4*(10+(3+7))=10
第4995题: 7*2'3/5=18'1/5
第4996题: 3/5*(5÷(10÷3))=9/10
第4997题: 1/1÷2'2/5=5/12
第4998题: (8+3)-2'5/8+9=17'3/8
第4999题: 6/8-1'1/1=-1'1/4
第5000题: (4/8*2/9)-(1'1/3-1)=-2/9
第5001题: 1+2'1/6*(1/1*3)=7'1/2
第5002题: (1/1÷5)÷10÷8=1/400
第5003题: 7/9÷1'1/1=7/18
第5004题: (10+5/8*(8÷1/6))=40
第5005题: 3+2/3=3'2/3
第5006题: (2*10'1/10)*5=101
第5007题: (1/2-1/5*4+2'2/4)=2'1/5
第5008题: 8÷3/4=10'2/3
第5009题: 2'1/2+(9÷1/2)-9=11'1/2
第5010题: 4/7÷2'2/5*3'2/4=5/6
第5011题: (2/7-2)+2'5/6=1'5/42
第5012题: (1'4/5+5/9)-7=-4'29/45
第5013题: 3'3/8÷(1'2/4*(2'1/3*6))=9/56
第5014题: (9÷9+1'1/1)=3
第5015题: 3/9-2'1/5=-1'13/15
第5016题: 1/1*2-(1/5*3'1/6)=1'11/30
第5017题: 2/3÷1/5+(1+1/6)=4'1/2
第5018题: (5÷3/5)*7=58'1/3
第5019题: (4'2/10*(5+1'2/4+6))=52'1/2
第5020题: 1'2/3÷7'6/10=25/114
第5021题: (9-3'3/5)÷1'1/1=2'7/10
第5022题: 3+(4/6-4'1/5)=8/-15
第5023题: (6/10+6/8)-(1*2'3/7)=-1'11/140
第5024题: 5/7*(2+8)=7'1/7
第5025题: 8+8=16
第5026题: 6-1=5
第5027题: 2÷(5*5'4/6*9)=2/255
第5028题: 7÷4/5=8'3/4
第5029题: 5/10+7/10+(10+4/6)=11'13/15
第5030题: 2+(3'4/5÷1)=5'4/5
第5031题: (1/5÷1/8÷6+2'2/4)=2'23/30
第5032题: 6÷(3'2/6÷2)=3'3/5
第5033题: 3*2=6
第5034题: 5'1/6÷2'4/6=1'15/16
第5035题: (1*5'1/7)÷1'9/10*2/9=80/133
第5036题: (7-2/6)÷3=2'2/9
第5037题: (5+4'5/7)÷2'1/4+4=8'20/63
第5038题: 6÷7÷10=3/35
第5039题: (7÷2/9÷3)-1'2/4=9
第5040题: 2+3'3/4*1=5'3/4
第5041题: (1/4*10)+5/7=3'3/14
第5042题: 2*(1'1/1+7)=18
第5043题: 2'1/4*9÷1'1/1+6/10=10'29/40
第5044题: 8/9-5/6=1/18
第5045题: 5*(5-5'1/7)=5/-7
第5046题: (1/3+3/7*1)÷9=16/189
第5047题: (1/3*3'2/3÷6)+1/2=19/27
第5048题: (1'1/2÷10-4+2'8/9)=173/-180
第5049题: 7-4/10=6'3/5
第5050题: 3'3/5÷8=9/20
第5051题: 2*1÷1'1/2=1'1/3
第5052题: (1/2*1/1)+6/8=1'1/4
第5053题: (2'1/7*4)÷8-9=-7'13/14
第5054题: 10-4'4/6+1/10*6=5'14/15
第5055题: (2÷10÷10)-4'1/8=-4'21/200
第5056题: (1*7)+10=17
第5057题: (8/9-4/6)÷9=2/81
第5058题: 7'2/8+1/9=7'13/36
第5059题: 2-10=-8
第5060题: 3'2/7-4=5/-7
第5061题: 6'4/6*3=20
第5062题: 2/8*(7-5'2/10)=9/20
第5063题: 2'1/3-1'1/4÷(2÷2/6)=2'1/8
第5064题: 6-1/6=5'5/6
第5065题: (10+1'1/3)-3'2/3=7'2/3
第5066题: 4/7-(5-7)*4/9=1'29/63
第5067题: 1/2+2/7*(2'2/3÷5)=137/210
第5068题: 6'4/9+2=8'4/9
第5069题: 2*(2'1/2*(8/10*1))=4
第5070题: (2'1/5+2/3)-3'6/8÷8'8/10=2'1163/2640
第5071题: (10÷1'1/1)+10+8=23
第5072题: 7+6/7=7'6/7
第5073题: 4+(10*2'1/3)=27'1/3
第5074题: 1/1÷(2+5'4/6)=3/23
第5075题: 8'1/8÷1÷1=8'1/8
第5076题: 3*1/3*2/6+9=9'1/3
第5077题: (8÷10*5)+2=6
第5078题: 4÷1/1-6=-2
第5079题: 8+1'2/3*3'3/6=13'5/6
第5080题: 2'2/4÷2/4*(1/10÷1/4)=2
第5081题: 4/8-10÷(1'1/2-1'1/1)=20'1/2
第5082题: 9-1'1/1=7
第5083题: 4-1/1=3
第5084题: 7÷2/10+2=37
第5085题: 4/8+7=7'1/2
第5086题: (4+3'2/4÷1/8)*6/8=24
第5087题: (7'3/10*6/8+2)=7'19/40
第5088题: 6÷(8*9*2'3/5)=5/156
第5089题: (10*1*4'3/5*4)=184
第5090题: (3/9+4)*1/3=1'4/9
第5091题: 8-1=7
第5092题: (4*9)+1'2/5=37'2/5
第5093题: (1/10*7-1/2)=1/5
第5094题: 1/1*(7÷1)=7
第5095题: (3'4/6+3)÷1/2÷3/6=26'2/3
第5096题: 10*(3/4-4)=-32'1/2
第5097题: (6'3/8÷(1/3÷5*7))=13'37/56
第5098题: 4-3/6=3'1/2
第5099题: 1/2-(1/8*1'1/5)+5=5'7/20
第5100题: 4+4'1/10=8'1/10
第5101题: (7+10-1)÷1=16
第5102题: 1'1/3+1=2'1/3
第5103题: 6*4'2/6÷(1/8+5/6)=27'3/23
第5104题: 5÷2/3=7'1/2
第5105题: 4-(1'1/3*6/7*9)=-6'2/7
第5106题: 6/8÷6=1/8
第5107题: 2'2/4÷8=5/16
第5108题: 1'1/5*2-2=2/5
第5109题: 3'1/6-(8*5'1/5)÷4=-7'7/30
第5110题: 2/3+1'1/5=1'13/15
第5111题: (4+6)÷(6÷2'3/9)=3'8/9
第5112题: 2*(7+(10*6))=134
第5113题: 10+2'2/7=12'2/7
第5114题: (10÷4)+(5+6)=13'1/2
第5115题: 4-1/5=3'4/5
第5116题: 3*3'1/3*(1÷10)=1
第5117题: 9*3'5/10+1=32'1/2
第5118题: 1'2/6+8*1'1/1=17'1/3
第5119题: 1'3/5*(10-(2'1/5÷1/7))=-8'16/25
第5120题: 2/6-(4/6-4'1/5)=3'13/15
第5121题: 1/10+2*10=20'1/10
第5122题: 1/9+(1-8)=-6'8/9
第5123题: 2'2/3÷1'1/1=1'1/3
第5124题: 1/2*(4-2)=1
第5125题: 1/3+(2'1/4+3)=5'7/12
第5126题: 2+6'2/9÷3=4'2/27
第5127题: (10+1)+9+1'2/3=21'2/3
第5128题: 3'3/4-10=-6'1/4
第5129题: 6'5/7+2=8'5/7
第5130题: 7'1/9-7*1/3=4'7/9
第5131题: 1'1/2÷9=1/6
第5132题: 1/4÷9+1/4=5/18
第5133题: (6'1/8-5)*(8-4/9)=8'1/2
第5134题: 9÷2/8=36
第5135题: 1/6*(5'5/8-(1'1/2-4'2/9))=1'169/432
第5136题: 1/7-5+1/1+5=1'1/7
第5137题: 1/1-3'3/6*2'2/3=-8'1/3
第5138题: 2/7+5=5'2/7
第5139题: (6-1'1/2÷2'2/3)*1=5'7/16
第5140题: 6/9+(2*1/10)=13/15
第5141题: 5/6÷(2'1/2*(1/2-2))=-2/9
第5142题: 7÷(4/9+10÷4)=2'20/53
第5143题: 5'2/7+9*4'4/6=47'2/7
第5144题: (3*9÷1'1/3)÷5/7=28'7/20
第5145题: (1÷1)÷6÷3/10=5/9
第5146题: 4-(2'1/3-6'3/8)=8'1/24
第5147题: 1/2÷3'1/5÷6=5/192
第5148题: 7-1/5÷1'1/2=6'13/15
第5149题: 5-3'1/7=1'6/7
第5150题: 5/8+(4÷2'1/2)=2'9/40
第5151题: 8+(3'8/9÷5*5/7)=8'5/9
第5152题: 3/10*6'6/10=1'49/50
第5153题: 4'1/5*1/1=4'1/5
第5154题: 1/1-10=-9
第5155题: (1/2+5'5/7÷4'7/10-3)=-1'187/658
第5156题: (5'2/7*4+4)=25'1/7
第5157题: 4/8*6'1/6=3'1/12
第5158题: (3/9÷10+1/2)-5=-4'7/15
第5159题: 3'4/6*1/2÷9'1/9÷4'4/6=99/2296
第5160题: (2÷(4'2/6÷4/5-1/2))=24/59
第5161题: (8*2'2/8-2)=16
第5162题: 4-7'1/7=-3'1/7
第5163题: 1+(1/3-1'1/1)÷5'2/7=76/111
第5164题: 8+(4+(2/5*2'1/2))=13
第5165题: 10*1'1/5-2/6=11'2/3
第5166题: 6-6/7-8=-2'6/7
第5167题: 9-(4*3/8)=7'1/2
第5168题: 1'1/4*1=1'1/4
第5169题: 3/4+(7*2÷4)=4'1/4
第5170题: 1+(9'1/9+1/4)+6'5/6=17'7/36
第5171题: 1+10+9'8/10÷1=20'4/5
第5172题: 3/9-1'1/1=-1'2/3
第5173题: 4'2/4*1*4/5=3'3/5
第5174题: (5-7)-(7/10*1/4)=-2'7/40
第5175题: 1/2*(1÷6/9)=3/4
第5176题: 1'2/4+(4+2)+7=14'1/2
第5177题: 7-(7-7)-7=0/1
第5178题: 2+1/2÷2/10-10=-5'1/2
第5179题: 3/7-6*(3/10÷1'2/3)=-114/175
第5180题: (1/6*6)*1/1=1
第5181题: (1/8+4'4/7)÷1/3=14'5/56
第5182题: (4'4/10÷1'1/3*2/7)=33/35
第5183题: (2/4÷4*3)*2'8/10=1'1/20
第5184题: 2-6=-4
第5185题: 6÷(3'2/3-(6+4))=-18/19
第5186题: (7/10*4)÷1/5÷5=2'4/5
第5187题: 3+(1+1/2*1)=4'1/2
第5188题: 9÷(2'1/3÷2'7/10÷10)=104'1/7
第5189题: (1/1÷8)-(5'2/5+9)=-14'11/40
第5190题: (4÷9)÷10=2/45
第5191题: 7'6/10*1'1/1=15'1/5
第5192题: (1*3'1/5÷(9+1'1/3))=48/155
第5193题: (4+5)-(1/2*4)=7
第5194题: (1*1'1/2)÷5=3/10
第5195题: (9*1/3)+9=12
第5196题: (6*5'7/9)÷10=3'7/15
第5197题: 4'1/4*4'7/10=19'39/40
第5198题: (6-7)*1/2÷4/6=-3/4
第5199题: (3*1/1+7)=10
第5200题: 10÷(10-1/1*1/5)=1'1/49
第5201题: 2-(4/6-1'1/1)=3'1/3
第5202题: 2/3+(1/4-3/9)=7/12
第5203题: (5/7-5*2)+3=-6'2/7
第5204题: 9/10+4=4'9/10
第5205题: 2'2/10+1/6=2'11/30
第5206题: 2'6/7+(1*(7*2'7/8))=22'55/56
第5207题: (1+(9*9'5/9*3'2/9))=278'1/9
第5208题: 1/1-6÷(5-7)=4
第5209题: 1/2+2'1/2=3
第5210题: (8'7/9-8)-2/3=1/9
第5211题: (1/7+1÷1/2)*1/6=5/14
第5212题: 7÷5/10*1/2+6/8=7'3/4
第5213题: 5-4-9=-8
第5214题: 1'1/1+4/9=2'4/9
第5215题: 5/9÷(3'4/5*10÷5)=25/342
第5216题: (6+2/4+7'3/10)÷1/6=82'4/5
第5217题: (8-7÷(10-1/8))=7'23/79
第5218题: 3'3/5-(7*1/10)=2'9/10
第5219题: 4/8+(3'2/3*(4÷3'5/6))=4'15/46
第5220题: (10÷2'3/7÷(5÷2/4))=7/17
第5221题: 2'2/8+(1+8)+10=21'1/4
第5222题: 9÷(10*1/1)=9/10
第5223题: (5'3/10-3)*8'6/10=19'39/50
第5224题: 1/2*(4÷9)=2/9
第5225题: 1/7-8÷3'3/8=-2'43/189
第5226题: (4-4÷1)-2=-2
第5227题: (2/9+4'4/7)÷6=151/189
第5228题: 8-(3'3/4*3'1/6)=-3'7/8
第5229题: 4/6+1'1/2+3=5'1/6
第5230题: (1*8*1'1/1)=16
第5231题: (5'4/5÷8÷4)-4'2/7=-4'117/1120
第5232题: 2/4÷6=1/12
第5233题: (1/5*1/1)+7'3/7=7'22/35
第5234题: 3'7/9÷6+7÷6=1'43/54
第5235题: 8-5÷1'1/2=4'2/3
第5236题: 2/8-1'2/4+2/6÷1'1/1=-1'1/12
第5237题: 3/6+2=2'1/2
第5238题: (1/6-(9+5-1/4))=-13'7/12
第5239题: (1/4-8-1)*3/6=-4'3/8
第5240题: (4*9'1/10-1'1/3)=35'1/15
第5241题: 7*3'1/6÷9-1/4=2'23/108
第5242题: 2'2/7*(6÷4'1/7)=3'9/29
第5243题: (4-9+5+1'1/2)=1'1/2
第5244题: 2/4-(5+1'1/4)=-5'3/4
第5245题: 6-(1'1/1+1/3)*2'5/7=1/-3
第5246题: 3+1/3=3'1/3
第5247题: 8*1/4-10=-8
第5248题: 4/10÷2/3=3/5
第5249题: 3/6-1'1/2=-1
第5250题: (10+1/5)*6=61'1/5
第5251题: (9*9)÷(1/1+1/6)=69'3/7
第5252题: 1/9÷2=1/18
第5253题: 1'1/1÷(7÷1/9)*1'5/7=8/147
第5254题: (5'1/5+1'2/3÷1/1)÷4=1'43/60
第5255题: 5+3'3/7=8'3/7
第5256题: (2'1/3*3/9-4)*1/5=29/-45
第5257题: 5+1'8/9÷1/3+1'1/3=12
第5258题: 1/10*1'1/4=1/8
第5259题: (4'9/10-10)÷(1/6÷4)=-122'2/5
第5260题: 2/4÷10÷6=1/120
第5261题: 3/5÷1-7=-6'2/5
第5262题: 2/6*1/1=1/3
第5263题: 3*1'1/2÷(7*1/3)=1'13/14
第5264题: 3÷(4*1/9)=6'3/4
第5265题: 2/4÷2'1/2=1/5
第5266题: (6-1-4)=1
第5267题: (6+1/8)-6=1/8
第5268题: 4*1-2'4/6=1'1/3
第5269题: (1/6+9/10)÷5/7=1'37/75
第5270题: (5'1/6*4)*2=41'1/3
第5271题: 3/9+(1/1÷1/2)-1'2/3=2/3
第5272题: 2÷9/10=2'2/9
第5273题: (3+5/8)÷1'1/1-9=-7'3/16
第5274题: 9/10-(1+4/7)=47/-70
第5275题: (1/3+5÷1'8/9)-3/7=2'197/357
第5276题: (6*3'4/7)+7=28'3/7
第5277题: (5+4/10)-(1/3-6/10)=5'2/3
第5278题: 4-1-1/1=2
第5279题: (5'2/7÷9)+5=5'37/63
第5280题: 4÷(4'4/9-(9÷5))=1'61/119
第5281题: (3*4)*(1/2-1)=-6
第5282题: 1/1÷2*5/6=5/12
第5283题: 3/5÷6-2=-1'9/10
第5284题: 1'1/3÷3'2/4÷1/3÷7=8/49
第5285题: 3'2/3*1/5*4=2'14/15
第5286题: (7*1'2/3)-8=3'2/3
第5287题: (6'2/7*1/2)÷1'1/1=1'4/7
第5288题: (8÷2/4+(1'1/6*4))=20'2/3
第5289题: 9+4+6'1/6+2=21'1/6
第5290题: 2'2/6+1/10=2'13/30
第5291题: 6*(7/8÷10)=21/40
第5292题: 9÷9-6*3=-17
第5293题: 3*(9-3'2/5-1)=13'4/5
第5294题: 8+(2'1/2*1)*1/4=8'5/8
第5295题: (9*2'1/4)+4'2/5*2=29'1/20
第5296题: 2*7'1/7=14'2/7
第5297题: 4*5'1/9=20'4/9
第5298题: (3+3/4)÷2/5÷1'1/5=7'13/16
第5299题: 1'1/2÷3=1/2
第5300题: 1'3/8÷1'1/2=11/12
第5301题: 1'1/5*1/4=3/10
第5302题: 4-(5-3)=2
第5303题: 1'1/1*1'5/10+(5-6'5/8)=1'3/8
第5304题: (6*1'1/1)*6/7=10'2/7
第5305题: 1'4/8÷(5/6+4)-2/5=13/-145
第5306题: 2'1/4÷(9-7)=1'1/8
第5307题: 3/10÷3=1/10
第5308题: 2*(8÷8'1/8)=1'63/65
第5309题: 1/7+5-7=-1'6/7
第5310题: (3-4'1/6*1/2-8/9)=1/36
第5311题: (4'3/6-(3-4'6/8*3))=15'3/4
第5312题: 1'1/9-(1'1/1-1/1)+8=8'1/9
第5313题: (2÷1÷1)=2
第5314题: 7-(7+(1/3+5))=-5'1/3
第5315题: 6÷1/3+1'1/1=20
第5316题: 6'7/8-(1/2+(4÷3))=5'1/24
第5317题: 3-1'1/5=1'4/5
第5318题: 7*(10÷8)÷4'1/5=2'1/12
第5319题: 7+4*4=23
第5320题: 10÷5'4/6=1'13/17
第5321题: 8+(1'4/6+1'1/8)*4/7=9'25/42
第5322题: 3/5+1/1=1'3/5
第5323题: (8*1/5÷7)-5=-4'27/35
第5324题: 8÷1=8
第5325题: (9/10*6÷8)=27/40
第5326题: (3÷7*1'1/1)=6/7
第5327题: (7'3/8÷3*(1'1/1+6/7))=7'1/42
第5328题: (1*1*5'3/6)÷1/4=22
第5329题: 5-(2'6/10-7/10)=3'1/10
第5330题: 2/5-8=-7'3/5
第5331题: 4+(5+5/8)=9'5/8
第5332题: 2'1/2+9=11'1/2
第5333题: 6'5/6-9=-2'1/6
第5334题: (3+6'9/10)+3*4=21'9/10
第5335题: (9*7)-1'1/6=61'5/6
第5336题: (6÷1/2)-1=11
第5337题: 5-2'1/2+5'1/5+1=8'7/10
第5338题: 2/4-9-3=-11'1/2
第5339题: 3'2/4-9=-5'1/2
第5340题: 3'2/4÷(9'7/9÷(8-5))=1'13/176
第5341题: 6-(9*9)=-75
第5342题: 7'5/10-1/1÷3/5=5'5/6
第5343题: 5'3/9+(3-5/9)=7'7/9
第5344题: 2/3-6=-5'1/3
第5345题: (1/3÷10)+(4+5'2/5)=9'13/30
第5346题: 8÷(3'1/4-8)=-1'13/19
第5347题: 8÷4*1/1=2
第5348题: (8*2'5/7-3/7)=21'2/7
第5349题: 1÷2/3=1'1/2
第5350题: 3'2/9÷1*6/7÷3=58/63
第5351题: 10*3/4=7'1/2
第5352题: 1/1-4'4/6=-3'2/3
第5353题: 4'7/10÷1-(10*1'1/3)=-8'19/30
第5354题: (6/10*2'1/2+3/6)=2
第5355题: 6/7*8=6'6/7
第5356题: 9+2=11
第5357题: 2/6*3/4*6=1'1/2
第5358题: 1'1/1-5=-3
第5359题: 10+3/10=10'3/10
第5360题: 1/4+(5/6+3/7)+3=4'43/84
第5361题: 1/5-8÷2'1/2*5'8/10=-18'9/25
第5362题: 8/9÷1=8/9
第5363题: 4'1/7÷(5+6/10)=145/196
第5364题: 1+(7/9+(2'1/3*5))=13'4/9
第5365题: (2÷10÷6)+3'6/8=3'47/60
第5366题: 6*(5+5)*5=300
第5367题: 4/6-8=-7'1/3
第5368题: 8+4=12
第5369题: 10+9'1/10÷(2-5)=6'29/30
第5370题: (10*1/9)*4'2/10÷10=7/15
第5371题: 7÷(1÷9)=63
第5372题: 5÷4*1'1/1=2'1/2
第5373题: (10*6-3'4/10)=56'3/5
第5374题: (8-9÷5)*1=6'1/5
第5375题: 1'2/4+2/7÷6+2'8/10=4'73/210
第5376题: (6+1)÷2'9/10=2'12/29
第5377题: (5+3'3/6)+1=9'1/2
第5378题: (6*1-6)=0/1
第5379题: 1/1-(9+6)=-14
第5380题: 4*1/1=4
第5381题: 3'1/3-(5'4/5*6)=-31'7/15
第5382题: 1/4-1/5=1/20
